"Frequency","Word","Sentence"
10,sabéis,¿Sabéis a qué casa vais a ir.
10,golosina,"Cuando vivía con los Dursley nunca había tenido dinero para comprarse golosinas y, puesto que tenía "
10,luchar,Pero tío Vernon no iba a rendirse sin luchar.
10,cazador,Tres se llaman cazadores.
10,lee,"—Déjanos mirar, Lee, vamos."
9,cerradura,"Harry y Dudley iniciaron una lucha, furiosa pero callada, para ver quién espiaba por el ojo de la ce"
9,desenvolver,"—La profesora McGonagall se echó hacia atrás con temor, pero Dumbledore, ocupado en desenvolver dos "
9,mazmorra,Las clases de Pociones se daban en una mazmorra.
9,longbottom,"Cuando Neville Longbottom, el chico que perdía su sapo, fue llamado, se tropezó con el taburete."
9,atrapar él,"El saco de boxeo favorito de Dudley era Harry, pero no podía atraparlo muy a menudo."
9,callejón,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
9,perdón,"—Perdón —gruñó, mientras el diminuto viejo se tambaleaba y casi caía al suelo."
9,acordar,Eso hizo que Harry se acordara de algo.
9,gorda,Empujó el retrato de la Dama Gorda y se metió por el agujero.
9,entrenamiento,Debían de pensar que aquél era un buen entrenamiento para la vida futura.
9,alegremente,"El señor Dursley canturreaba mientras se ponía su corbata más sosa para ir al trabajo, y la señora D"
9,triste,—dijo con tristeza.
9,caramelo,¿Le gustaría tomar un caramelo de limón.
9,molestar,"Dijo a gritos a su secretaria que no quería que lo molestaran, cogió el teléfono y, cuando casi habí"
9,asinteír,"Dumbledore asintió con la cabeza, apesadumbrado."
9,gracia,"—No, muchas gracias —respondió con frialdad la profesora McGonagall, como si considerara que aquél n"
9,accidente,—En el accidente de coche donde tus padres murieron —había dicho—.
9,alivio,"Tía Petunia creyó que debía de haberse encogido al lavarlo y, para su gran alivio, Harry no fue cast"
9,diagon,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
9,practicar,"Tuvo cuidado de andar un poco alejado de los Dursley, para que Dudley y Piers, que comenzaban a abur"
9,compartimento,"Harry se abrió paso hasta que encontró un compartimento vacío, cerca del final del tren."
9,parque,"Cada año, el día del cumpleaños de Dudley, sus padres lo llevaban con un amigo a pasar el día a un p"
9,buscar él,"Cuando era más pequeño, Harry soñaba una y otra vez que algún pariente desconocido iba a buscarlo pa"
9,sujetar él,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que habría podid"
9,nerviosismo,Se aclaró la garganta con nerviosismo.
9,oir él,"»  —Lo sé —murmuró Harry a través del vidrio, aunque no estaba seguro de que la serpiente pudiera oí"
8,estrecho,Estaban en un estrecho pasillo de piedra iluminado con antorchas.
8,boquiabierto,La profesora McGonagall se quedó boquiabierta.
8,aferrar,"Harry se aferró a los bordes del taburete y pensó: «En Slytherin no, en Slytherin no."
8,arreglar,El reloj despertador arreglado sonó a las seis de la mañana siguiente.
8,garganta,Se aclaró la garganta con nerviosismo.
8,aquél,El niño era otra buena razón para mantener alejados a los Potter: no querían que Dudley se juntara c
8,pedazo,"Dejó que Harry viera la televisión y le dio un pedazo de pastel de chocolate que, por el sabor, pare"
8,prestar,"—Me la han prestado, profesor Dumbledore —contestó el gigante, bajando con cuidado del vehículo mien"
8,baño,"Mientras la señora Dursley estaba en el cuarto de baño, el señor Dursley se acercó lentamente hasta "
8,beicon,"—Bueno, date prisa, quiero que vigiles el beicon."
8,vuelo,"Pese a que los búhos habitualmente cazan durante la noche y es muy difícil verlos a la luz del día, "
8,aullido,"Entonces, súbitamente, Hagrid dejó escapar un aullido, como si fuera un perro herido."
8,detestar,Detesto los carros de Gringotts.
8,cubo,"Sus manos tenían el mismo tamaño que las tapas del cubo de la basura y sus pies, calzados con botas "
8,seguidme,"—Venid, seguidme."
8,hagas,Y no hagas preguntas.
8,p,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
8,rugir,"Se estremecía y daba vueltas, tratando de ponerse cómodo, con el estómago rugiendo de hambre."
8,taladro,"El señor Dursley era el director de una empresa llamada Grunnings, que fabricaba taladros."
8,pasear,Harry paseó en círculos por su nueva habitación.
8,estremeceír,Los hombros de Hagrid se estremecieron.
8,gryffindors,"Pareció complacido ante las caras de asombro y volvió a ponerse la cabeza en su sitio, tosió y dijo—"
8,quitar él,"Allí tuvo que forcejear con su hijo para quitarle la carta, lo que le resultaba difícil porque Harry"
8,fingir,"La señora Potter era hermana de la señora Dursley, pero no se veían desde hacía años; tanto era así "
8,veloz,Diez minutos después se habían abierto camino a través de las puertas tapiadas y estaban en el coche
8,idiota,—¡Chico idiota.
8,figg,La señora Figg se ha fracturado una pierna.
8,burlón,—Le hizo una mueca burlona a Harry desde los brazos de su madre.
8,hum,—Hum.
8,agachar,"Los Dursley se agacharon, pero Harry saltó en el aire, tratando de atrapar una."
8,amable,"Cuando llegó el correo, tío Vernon, que parecía hacer esfuerzos por ser amable con Harry, hizo que f"
8,taza,La señora Dursley entró en el comedor con dos tazas de té.
8,sonriente,"Los Dursley compraron a Dudley y a Piers unos grandes helados de chocolate en la entrada, y luego, c"
8,dean,"Ron ya había tenido una gran discusión con Dean Thomas, que compartía el dormitorio con ellos, sobre"
8,mason,"¿Me permiten sus abrigos, señor y señora Mason."
8,oesed,"Para Jessica, a quien le gustan las historias,  para Anne, a quien también le gustaban,  y para Di, "
8,moto,"Aumentó hasta ser un rugido mientras los dos miraban hacia el cielo, y entonces una pesada moto cayó"
8,pasadizo,"Luego subieron por un pasadizo en la roca, detrás de la lámpara de Hagrid, saliendo finalmente a un "
8,preparado,"¿No se da cuenta de que será mucho mejor que crezca lejos de todo, hasta que esté preparado para asi"
8,expulsar,"yo fui también a Hogwarts y, si he de ser franco, me expulsaron."
8,hambre,"Tenía hambre, se había perdido cinco programas de televisión que quería ver y nunca había pasado tan"
8,asombro,Es asombroso.
8,barón,El Barón Sanguinario se ha vuelto insoportable.
8,averiguar,Luego echó un vistazo a su alrededor para averiguar si alguien lo observaba.
8,manta,En sus enormes brazos musculosos sostenía un bulto envuelto en mantas.
8,cromo,Pero mira qué cromo tiene.
8,sillón,El señor Dursley se quedó congelado en su sillón.
8,recordadora,—¡Es una recordadora.
8,rosado,"Diez años antes, había una gran cantidad de retratos de lo que parecía una gran pelota rosada con go"
7,poste,En cada extremo del campo había tres postes dorados con aros en la punta.
7,regalar,"Claro que sus cumpleaños nunca habían sido exactamente divertidos: el año anterior, por ejemplo, los"
7,pelirrojo,"—dijo la voz aguda de una niña, también pelirroja, que iba de la mano de la mujer—."
7,sábado,Era un sábado muy soleado y el zoológico estaba repleto de familias.
7,sostener,"Lo abrió, lo sostuvo alto en el aire y lo encendió."
7,chillar,—chilló de nuevo.
7,lily,El rumor es que Lily y James Potter están.
7,radiante,"Harry miró de nuevo a Hagrid, sonriendo, y vio que el gigante lo miraba radiante."
7,gana,"Podía haber envuelto el coche de tío Vernon y haberlo aplastado como si fuera una lata, pero en aque"
7,abuela,"—Bueno, mi abuela me crió y ella es bruja —dijo Neville—, pero la familia creyó que yo era todo un m"
7,lobo,"Harry se puso de pie, tan feliz como si un gran globo se expandiera en su interior."
7,permiso,"Comieron en el restaurante del zoológico, y cuando Dudley tuvo una rabieta porque su bocadillo no er"
7,ruborizar,No me ruborizaba tanto desde que la señora Pomfrey me dijo que le gustaban mis nuevas orejeras.
7,hocico,"El santo y seña es «hocico de cerdo», pero ahora no te servirá, porque la Dama Gorda se ha ido no sé"
7,mármol,Dos duendes los hicieron pasar por las puertas plateadas y se encontraron en un amplio vestíbulo de 
7,cortina,"Todos agacharon la cabeza y los botecitos los llevaron a través de una cortina de hiedra, que escond"
7,maldito,Hoy no llegarán las malditas cartas.
7,crees,¿Crees que él recuerda cómo era Quien-tú-sabes.
7,perder él,perderlos de vista.
7,vitorear,"Hagrid lo vitoreó y aplaudió y el señor Ollivander dijo:  —¡Oh, bravo."
7,artes,Defensa Contra las Artes O.
7,zoológico,—Supongo que podemos llevarlo al zoológico.
7,murmullo,El suave murmullo de las charlas se detuvo cuando ellos entraron.
7,aliviado,"—Hagrid —dijo Dumbledore, aliviado—."
7,carrito,Tío Vernon cargó el baúl de Harry en un carrito y lo llevó por la estación.
7,levantar él,¡A levantarse.
7,enterar,¿Te enteraste de lo que pasó en Gringotts.
7,repasar,Harry repasó mentalmente las noticias.
7,malkin,"—Deberías comprarte el uniforme —dijo Hagrid, señalando hacia «Madame Malkin, túnicas para cualquier"
7,atrevir,Harry no se atrevía a hablar.
7,smeltings,"Dudley tenía una plaza en el antiguo colegio de tío Vernon, Smeltings."
7,redondo,"Llevaba gafas redondas siempre pegadas con cinta adhesiva, consecuencia de todas las veces que Dudle"
7,madame,"—Deberías comprarte el uniforme —dijo Hagrid, señalando hacia «Madame Malkin, túnicas para cualquier"
7,llevar él,—Supongo que podemos llevarlo al zoológico.
7,humor,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidió estirar las piernas y dirigirse "
7,ir yo,"—Sí, sí, es todo muy triste, pero domínate, Hagrid, o van a descubrirnos —susurró la profesora McGon"
7,sanguinario,El Barón Sanguinario se ha vuelto insoportable.
7,carro,La videocámara nueva de hacía un mes estaba sobre un carro de combate que una vez Dudley hizo pasar 
7,nuca,Algo llegó zumbando por la chimenea de la cocina mientras él hablaba y lo golpeó con fuerza en la nu
7,gragea,"Hasta que finalmente apartó la vista de la druida Cliodna, que se rascaba la nariz, para abrir una b"
7,sar,"—Sé que usted no tiene ese problema —observó la profesora McGonagall, entre la exasperación y la adm"
7,bota,"Llevaba una túnica larga, una capa color púrpura que barría el suelo y botas con tacón alto y hebill"
7,gemido,Se apretó la garganta y dejó escapar un gemido.
7,arrugado,"Después de un minuto de confusa lucha, en la que todos recibieron golpes del bastón, tío Vernon se e"
7,estáis,¿Estáis ahí.
7,bocadillo,"Comieron en el restaurante del zoológico, y cuando Dudley tuvo una rabieta porque su bocadillo no er"
7,seas,"—No seas tonto, Vernon, ella no aguanta al chico."
7,finnigan,"Finnigan, Seamus, el muchacho rubio que estaba al lado de Harry en la fila, estuvo sentado un minuto"
7,ajá,—Ajá —respondió Hagrid con voz ronca—.
7,levantado,—¿Ya estás levantado.
7,puntiagudo,— Un sombrero puntiagudo (negro) para uso diario.
7,tropezar,La señora Figg se había fracturado la pierna al tropezar con un gato y ya no parecía tan encariñada 
7,tragar,Tía Petunia lo miró como si se hubiera tragado un limón.
7,sucio,El cubo estaba lleno de lo que parecían trapos sucios flotando en agua gris.
7,decir tú,"—Bueno, es mejor que sepas todo lo que yo puedo decirte."
7,armadura,"Lo oyeron alejarse, haciendo resonar las armaduras al pasar."
7,dirigir él,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidió estirar las piernas y dirigirse "
7,flauta,"» Contenía una flauta de madera, toscamente trabajada."
7,reir,"Dudley se rió como un tonto, burlándose de Harry, que pasó la noche sin dormir imaginando lo que suc"
7,inodoro,"—Allí, en Stonewall, meten las cabezas de la gente en el inodoro el primer día —dijo a Harry—."
7,cortante,—No —respondió en tono cortante—.
7,aro,"—Y, por último, observadores de pájaros de todas partes han informado de que hoy los búhos del país "
7,favorito,"El saco de boxeo favorito de Dudley era Harry, pero no podía atraparlo muy a menudo."
7,llama,Unas llamas azules salieron de su varita y saltaron a la túnica de Snape.
7,guardabosques,Pero Dumbledore dejó que me quedara como guardabosques.
7,apretar,Se apretó la garganta y dejó escapar un gemido.
7,casas,—Casas del colegio.
7,mira,"Miraba con atención hacia Privet Drive, como si estuviera esperando algo."
7,maestro,"Nunca había estado tan nervioso, nunca, ni siquiera cuando tuvo que llevar a los Dursley un informe "
